Department,Department_Name,Division,Gender,Grade,Base_Salary,Overtime_Pay,Longevity_Pay,Total_pay
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,68888.95,7059.41,0,75948.36
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,56884.17,0,0,56884.17
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,46425.47,2092.35,0,48517.82
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,69101.61,5227.31,0,74328.92
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,75621,11131.12,0,86752.12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,59881,3328.4,0,63209.4
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,46638.13,0,0,46638.13
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,59006.72,2195.05,0,61201.77
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,68326.28,15420.99,0,83747.27
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,44693.41,1000.49,0,45693.9
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,43600.44,4196.09,0,47796.53
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,57714.47,7570.81,0,65285.28
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,49948.07,281.74,0,50229.81
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,55968.25,2535.85,0,58504.1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,42126.03,3154,0,45280.03
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,42126.03,1182.87,0,43308.9
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,63480.16,11486.92,0,74967.08
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,42277.68,1472.07,0,43749.75
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,10,42277.68,2052.65,0,44330.33
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,Male,15,52080.82,1791.42,0,53872.24
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,66572,3148.64,582.55,70303.19
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,13,69442,2440.69,2547.59,74430.28
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,N18,86103,1969.09,0,88072.09
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,13,55730.53,127.73,0,55858.26
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Female,12,76668,3226.55,0,79894.55
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,54582.52,8382.14,0,62964.66
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,13,59394.16,3619.49,0,63013.65
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,13,56662.73,12204.96,0,68867.69
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,46468.89,2123.38,0,48592.27
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,49825.95,4502.32,0,54328.27
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,N20,93986,25509.32,0,119495.32
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,46468.62,11466.39,0,57935.01
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,52641.58,10848.36,0,63489.94
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,52641.58,5098.25,0,57739.83
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,50039.03,3892.88,0,53931.91
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,51569.86,2546.11,0,54115.97
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,46468.63,3519.93,0,49988.56
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,49826.38,3714.56,0,53540.94
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,51073.58,3262.58,0,54336.16
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,46468.62,632.65,0,47101.27
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,45929.49,6845.84,0,52775.33
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,46681.28,1539.66,0,48220.94
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,45254.34,1368.58,0,46622.92
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,46862.73,2590.35,0,49453.08
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,Male,12,43724,1330,0,45054
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,12,66572,5008.34,1907.4,73487.74
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,69442,940.73,5490.04,75872.77
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,69442,558.68,5490.04,75490.72
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,69442,6732.45,5490.01,81664.46
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,12,66572,7000.21,3137.75,76709.96
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,12,58571.12,350.88,0,58922
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Female,13,56922.27,6156.95,0,63079.22
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,59376.01,2171.54,0,61547.55
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,58877.73,5992.54,0,64870.27
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,58877.73,518.79,0,59396.52
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,59003.23,802.16,0,59805.39
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,59003.22,505.68,0,59508.9
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,59591.71,1688.45,0,61280.16
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,N17,69805.58,5951.34,0,75756.92
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,12,52918.82,5780.52,0,58699.34
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,N18,64829.58,6895.97,0,71725.55
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,13,48575.68,240.87,0,48816.55
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Female,M2,166140.03,0,0,166140.03
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Male,22,85714.43,0,0,85714.43
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Female,22,99335.07,1540.34,0,100875.41
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Female,N25,94334.25,0,0,94334.25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Male,22,65480.48,377.81,0,65858.29
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Male,N25,117424,0,0,117424
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Male,18,75500,0,0,75500
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Male,18,77452.16,0,0,77452.16
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Female,22,98349,0,0,98349
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Female,16,64633,0,0,64633
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",Female,18,54583,0,0,54583
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,10,61240,6686.59,987.51,68914.1
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,10,61240,1211.31,0,62451.31
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,10,61240,6048.36,0,67288.36
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,N18,82146.33,18658.36,0,100804.69
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,15,75621,285.84,3569.81,79476.65
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,15,75621,7168.3,3572.82,86362.12
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,Male,15,75621,1554.96,3572.57,80748.53
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,Male,21,98228,0,0,98228
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,12,55148,1472.55,0,56620.55
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,12,49230,2655.45,0,51885.45
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,Male,N20,87927,0,0,87927
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Male,14,72463,1182.12,5733.72,79378.84
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Male,N18,70452.45,0,0,70452.45
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Female,12,47447.91,1302.22,0,48750.13
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Female,14,58240,536.86,0,58776.86
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Male,12,24047.66,6.3,0,24053.96
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Male,N21,94202.6,230.05,0,94432.65
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Male,12,22627.17,932.95,0,23560.12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,Male,12,21862,37.55,0,21899.55
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Male,N21,98228,0,0,98228
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Male,14,72463,137.53,3420.64,76021.17
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Male,14,66846.74,10.71,0,66857.45
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Male,N18,70660.89,0,0,70660.89
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Female,12,45974.72,1141.78,0,47116.5
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Female,12,44754.69,697.57,0,45452.26
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Male,12,24779.56,226.32,0,25005.88
ABS,Alcohol Beverage Services,ABS 85 Cabin John,Male,12,21862,863.98,0,22725.98
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,Male,N21,96329.84,1034.41,0,97364.25
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,Female,N18,85408.73,2287.24,0,87695.97
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,Female,14,60695.97,368.05,0,61064.02
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,Male,12,24779.27,314.28,0,25093.55
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,Female,12,22627.17,23.52,0,22650.69
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,Female,12,21862,77.33,0,21939.33
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,14,72463,142.59,724.64,73330.23
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,N21,84810.25,1422.37,0,86232.62
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,14,71207.18,391.52,0,71598.7
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,14,68130,88.62,0,68218.62
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,12,47447.91,28.67,0,47476.58
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,12,45974.72,1006.4,0,46981.12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Female,12,27031.16,154.9,0,27186.06
ABS,Alcohol Beverage Services,ABS 85 Cloverly,Male,12,21862,125.44,0,21987.44
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Male,14,72463,509.8,1177.55,74150.35
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Male,N21,90375.06,0,0,90375.06
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Male,14,72463,533.47,0,72996.47
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Male,12,45974.73,102.8,0,46077.53
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Female,12,45974.72,180.84,0,46155.56
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Female,14,62781.94,1056.16,0,63838.1
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Female,N18,68473.51,0,0,68473.51
ABS,Alcohol Beverage Services,ABS 85 Darnestown,Female,12,21862,0,0,21862
ABS,Alcohol Beverage Services,ABS 85 Director,Female,EX1,236000,0,0,236000
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Female,12,48889.66,831.9,0,49721.56
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Male,18,82784.33,496.18,0,83280.51
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Female,N28,133087.1,717.7,0,133804.8
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Female,18,82780.38,436.44,0,83216.82
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Male,18,86103,32.94,6836.38,92972.32
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Female,N28,134500,0,5747.8,140247.8
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Female,N21,85209.83,241.8,0,85451.63
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Female,18,86103,471.76,0,86574.76
ABS,Alcohol Beverage Services,ABS 85 Director's Office,Male,N16,40625.8,0,0,40625.8
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,14,72463,361.58,3420.79,76245.37
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,12,53257.6,311.09,578.05,54146.74
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,14,72463,24.33,1006.37,73493.7
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Female,N21,87532.44,2319.31,0,89851.75
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,14,62607.65,1290.64,0,63898.29
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,12,43419.99,508.38,0,43928.37
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Female,N18,57701.64,1427.09,0,59128.73
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,12,22627.17,8167.94,0,30795.11
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,12,21862,0,0,21862
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,Male,12,21862,70.32,0,21932.32
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Female,14,72463,801.89,2204.91,75469.8
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Female,12,33286,550.27,1479.28,35315.55
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Female,N18,68435.09,1103.48,0,69538.57
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Male,14,62820.34,1249.39,0,64069.73
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Male,12,21862,473.56,0,22335.56
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,Male,N21,91811.02,263.52,0,92074.54
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Male,N21,80239.2,0,0,80239.2
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Female,14,72463,183.44,3420.8,76067.24
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Male,N18,78883.02,131.98,0,79015
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Male,12,46144.88,9562.78,0,55707.66
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Male,12,46144.88,3653.65,0,49798.53
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Female,12,22627.17,56.95,0,22684.12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Female,N21,98228,0,0,98228
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,Male,12,21862,268.41,0,22130.41
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,N18,82733.09,962.71,0,83695.8
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Female,14,62820.33,993.74,0,63814.07
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,N21,72559.23,456.28,0,73015.51
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,14,47082.12,267.56,0,47349.68
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,14,52456.06,2287.77,0,54743.83
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,12,24047.66,486.46,0,24534.12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,12,21864.1,74.37,0,21938.47
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Female,12,21862,0,0,21862
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,Male,12,21862,0,0,21862
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,12,53257.6,113.26,4332.4,57703.26
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,14,66083.42,3066.55,0,69149.97
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,N18,75233.41,0,0,75233.41
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,14,63215.25,5331.03,0,68546.28
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,12,45974.73,3165.35,0,49140.08
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Female,14,60908.64,5422.71,0,66331.35
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,12,22551.34,2.85,0,22554.19
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,12,19695.5,0,0,19695.5
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,12,19695.5,0,0,19695.5
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Male,N21,92459.66,1280.88,0,93740.54
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,Female,12,21862,0,0,21862
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,N21,98228,0,0,98228
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,N18,86103,583.86,3665.73,90352.59
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,14,64631.08,1800.35,0,66431.43
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Female,14,65240.88,382.3,0,65623.18
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,12,43981.51,0,0,43981.51
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Female,12,44584.41,710.12,0,45294.53
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,12,22551.34,223,0,22774.34
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,12,21862,0,0,21862
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,12,21862,5.68,0,21867.68
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,Male,12,21862,109.14,0,21971.14
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Male,M3,152940,0,0,152940
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Female,26,122842,0,5840.66,128682.66
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Male,19,89948,5882.75,4570.73,100401.48
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Male,N26,119572,0,0,119572
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Female,N28,130167,0,0,130167
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Female,26,110150.27,0,0,110150.27
ABS,Alcohol Beverage Services,ABS 85 IT Administration,Male,N28,133713,14078.74,0,147791.74
ABS,Alcohol Beverage Services,ABS 85 Kensington,Female,N18,77646.34,81.16,0,77727.5
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,N21,95579.45,840.32,0,96419.77
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,12,24047.51,311.45,0,24358.96
ABS,Alcohol Beverage Services,ABS 85 Kensington,Female,14,62607.63,865.22,0,63472.85
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,12,41943.15,359.06,0,42302.21
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,14,57276.88,156.41,0,57433.29
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,12,23340.64,58.08,0,23398.72
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,12,23340.64,178.75,0,23519.39
ABS,Alcohol Beverage Services,ABS 85 Kensington,Male,12,21862,69.72,0,21931.72
ABS,Alcohol Beverage Services,ABS 85 King Farm,Male,N21,98228,244.39,0,98472.39
ABS,Alcohol Beverage Services,ABS 85 King Farm,Male,12,53257.6,469.12,4607.03,58333.75
ABS,Alcohol Beverage Services,ABS 85 King Farm,Male,14,66690.45,182.37,0,66872.82
ABS,Alcohol Beverage Services,ABS 85 King Farm,Male,12,43249.87,456.4,0,43706.27
ABS,Alcohol Beverage Services,ABS 85 King Farm,Male,12,24047.93,2.13,0,24050.06
ABS,Alcohol Beverage Services,ABS 85 King Farm,Male,14,53214.65,1094.83,0,54309.48
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Male,N21,98228,0,4186.89,102414.89
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Female,N18,86103,0,0,86103
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Male,14,72463,308.82,1396.88,74168.7
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Female,12,53257.6,906.11,0,54163.71
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Female,12,45974.71,528.85,0,46503.56
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Female,14,62607.65,172.78,0,62780.43
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Male,12,41943.14,915.57,0,42858.71
ABS,Alcohol Beverage Services,ABS 85 Kingsview,Female,12,21862,164.05,0,22026.05
ABS,Alcohol Beverage Services,ABS 85 Leisure World,Female,14,72463,4680.01,0,77143.01
